,year,county_name,commodity_desc,value,percent
247,1949.0,MCINTOSH,NOT CORN,1320900.0,0.9924862874746412
248,1950.0,DICKEY,CORN,50500.0,0.054861488321564365
249,1950.0,DICKEY,NOT CORN,870000.0,0.9451385116784357
250,1950.0,LA MOURE,CORN,40500.0,0.032569360675512665
251,1950.0,LA MOURE,NOT CORN,1203000.0,0.9674306393244874
252,1950.0,LOGAN,CORN,14500.0,0.01383719820593568
253,1950.0,LOGAN,NOT CORN,1033400.0,0.9861628017940643
254,1950.0,MCINTOSH,CORN,18000.0,0.015748031496062992
255,1950.0,MCINTOSH,NOT CORN,1125000.0,0.9842519685039369
256,1951.0,DICKEY,CORN,46500.0,0.044905842588121685
257,1951.0,DICKEY,NOT CORN,989000.0,0.9550941574118784
258,1951.0,LA MOURE,CORN,39500.0,0.02679782903663501
259,1951.0,LA MOURE,NOT CORN,1434500.0,0.973202170963365
260,1951.0,LOGAN,CORN,13500.0,0.01158301158301158
261,1951.0,LOGAN,NOT CORN,1152000.0,0.9884169884169884
262,1951.0,MCINTOSH,CORN,18500.0,0.0148
263,1951.0,MCINTOSH,NOT CORN,1231500.0,0.9852
264,1952.0,DICKEY,CORN,36000.0,0.0364741641337386
265,1952.0,DICKEY,NOT CORN,951000.0,0.9635258358662614
266,1952.0,LA MOURE,CORN,30000.0,0.0228310502283105
267,1952.0,LA MOURE,NOT CORN,1284000.0,0.9771689497716894
268,1952.0,LOGAN,CORN,9500.0,0.008656036446469248
269,1952.0,LOGAN,NOT CORN,1088000.0,0.9913439635535308
270,1952.0,MCINTOSH,CORN,13000.0,0.010987153482082488
271,1952.0,MCINTOSH,NOT CORN,1170200.0,0.9890128465179177
272,1953.0,DICKEY,CORN,36500.0,0.03741670937980523
273,1953.0,DICKEY,NOT CORN,939000.0,0.9625832906201948
274,1953.0,LA MOURE,CORN,36000.0,0.0256136606189968
275,1953.0,LA MOURE,NOT CORN,1369500.0,0.9743863393810032
276,1953.0,LOGAN,CORN,12000.0,0.01092896174863388
277,1953.0,LOGAN,NOT CORN,1086000.0,0.989071038251366
278,1953.0,MCINTOSH,CORN,17000.0,0.015268546793605176
279,1953.0,MCINTOSH,NOT CORN,1096400.0,0.9847314532063948
280,1954.0,DICKEY,CORN,43500.0,0.04820478723404256
281,1954.0,DICKEY,NOT CORN,858900.0,0.9517952127659576
282,1954.0,LA MOURE,CORN,37900.0,0.030062663599587525
283,1954.0,LA MOURE,NOT CORN,1222800.0,0.9699373364004124
284,1954.0,LOGAN,CORN,15600.0,0.016126531245154292
285,1954.0,LOGAN,NOT CORN,951750.0,0.9838734687548456
286,1954.0,MCINTOSH,CORN,16700.0,0.0158301341295796
287,1954.0,MCINTOSH,NOT CORN,1038250.0,0.9841698658704204
288,1955.0,DICKEY,CORN,47000.0,0.056459847438284576
289,1955.0,DICKEY,NOT CORN,785450.0,0.9435401525617154
290,1955.0,LA MOURE,CORN,42000.0,0.0361352490751097
291,1955.0,LA MOURE,NOT CORN,1120300.0,0.9638647509248904
292,1955.0,LOGAN,CORN,15000.0,0.01688998986600608
293,1955.0,LOGAN,NOT CORN,873100.0,0.983110010133994
294,1955.0,MCINTOSH,CORN,18000.0,0.018043303929430637
295,1955.0,MCINTOSH,NOT CORN,979600.0,0.9819566960705692
296,1956.0,DICKEY,CORN,48600.0,0.05127664064148554
297,1956.0,DICKEY,NOT CORN,899200.0,0.9487233593585144
298,1956.0,LA MOURE,CORN,41800.0,0.030937754422322557
299,1956.0,LA MOURE,NOT CORN,1309300.0,0.9690622455776774
300,1956.0,LOGAN,CORN,13000.0,0.013801889797218388
301,1956.0,LOGAN,NOT CORN,928900.0,0.9861981102027816
302,1956.0,MCINTOSH,CORN,15400.0,0.014826225089053626
303,1956.0,MCINTOSH,NOT CORN,1023300.0,0.9851737749109464
304,1957.0,DICKEY,CORN,38200.0,0.04276757725033587
305,1957.0,DICKEY,NOT CORN,855000.0,0.957232422749664
306,1957.0,LA MOURE,CORN,21400.0,0.017966585509193184
307,1957.0,LA MOURE,NOT CORN,1169700.0,0.9820334144908068
308,1957.0,LOGAN,CORN,2200.0,0.002554575011611705
309,1957.0,LOGAN,NOT CORN,859000.0,0.9974454249883884
310,1957.0,MCINTOSH,CORN,6900.0,0.006942348324781165
311,1957.0,MCINTOSH,NOT CORN,987000.0,0.9930576516752188
312,1958.0,DICKEY,CORN,36000.0,0.03742592785112798
313,1958.0,DICKEY,NOT CORN,925900.0,0.962574072148872
314,1958.0,LA MOURE,CORN,19000.0,0.01583069488418597
315,1958.0,LA MOURE,NOT CORN,1181200.0,0.984169305115814
316,1958.0,LOGAN,CORN,2000.0,0.002309468822170901
317,1958.0,LOGAN,NOT CORN,864000.0,0.9976905311778292
318,1958.0,MCINTOSH,CORN,3000.0,0.002961500493583416
319,1958.0,MCINTOSH,NOT CORN,1010000.0,0.9970384995064164
320,1959.0,DICKEY,CORN,46000.0,0.05189530685920578
321,1959.0,DICKEY,NOT CORN,840400.0,0.9481046931407944
322,1959.0,LA MOURE,CORN,39000.0,0.03223673334435444
323,1959.0,LA MOURE,NOT CORN,1170800.0,0.9677632666556456
324,1959.0,LOGAN,CORN,14500.0,0.015079034941763728
325,1959.0,LOGAN,NOT CORN,947100.0,0.9849209650582362
326,1959.0,MCINTOSH,CORN,13500.0,0.012605042016806723
327,1959.0,MCINTOSH,NOT CORN,1057500.0,0.9873949579831932
328,1960.0,DICKEY,CORN,42400.0,0.04789877993673746
329,1960.0,DICKEY,NOT CORN,842800.0,0.9521012200632626
330,1960.0,LA MOURE,CORN,36000.0,0.032397408207343416
331,1960.0,LA MOURE,NOT CORN,1075200.0,0.9676025917926566
332,1960.0,LOGAN,CORN,17000.0,0.01812366737739872
333,1960.0,LOGAN,NOT CORN,921000.0,0.9818763326226012
334,1960.0,MCINTOSH,CORN,15500.0,0.014712861888941622
335,1960.0,MCINTOSH,NOT CORN,1038000.0,0.9852871381110584
336,1961.0,DICKEY,CORN,35000.0,0.03899721448467967
337,1961.0,DICKEY,NOT CORN,862500.0,0.9610027855153204
338,1961.0,LA MOURE,CORN,30000.0,0.024952174997920653
339,1961.0,LA MOURE,NOT CORN,1172300.0,0.9750478250020792
340,1961.0,LOGAN,CORN,17000.0,0.022818791946308724
341,1961.0,LOGAN,NOT CORN,728000.0,0.9771812080536912
342,1961.0,MCINTOSH,CORN,13300.0,0.0137212421334984
343,1961.0,MCINTOSH,NOT CORN,956000.0,0.9862787578665017
344,1962.0,DICKEY,CORN,33000.0,0.04204892966360856
345,1962.0,DICKEY,NOT CORN,751800.0,0.9579510703363916
346,1962.0,LA MOURE,CORN,32000.0,0.0321575721033062
347,1962.0,LA MOURE,NOT CORN,963100.0,0.9678424278966938
348,1962.0,LOGAN,CORN,18000.0,0.02379378717779246
349,1962.0,LOGAN,NOT CORN,738500.0,0.9762062128222077
350,1962.0,MCINTOSH,CORN,15500.0,0.018386714116251486
351,1962.0,MCINTOSH,NOT CORN,827500.0,0.9816132858837484
352,1963.0,DICKEY,CORN,39000.0,0.04941713127217436
353,1963.0,DICKEY,NOT CORN,750200.0,0.9505828687278256
