year,county_name,commodity_desc,value
1989.0,MCINTOSH,CORN,17400.0
1989.0,MCINTOSH,NOT CORN,1140200.0
1990.0,DICKEY,CORN,115400.0
1990.0,DICKEY,NOT CORN,1344000.0
1990.0,LA MOURE,CORN,57800.0
1990.0,LA MOURE,NOT CORN,1899700.0
1990.0,LOGAN,CORN,22800.0
1990.0,LOGAN,NOT CORN,1020700.0
1990.0,MCINTOSH,CORN,21200.0
1990.0,MCINTOSH,NOT CORN,1254800.0
1991.0,DICKEY,CORN,128600.0
1991.0,DICKEY,NOT CORN,1165800.0
1991.0,LA MOURE,CORN,67000.0
1991.0,LA MOURE,NOT CORN,1624600.0
1991.0,LOGAN,CORN,25200.0
1991.0,LOGAN,NOT CORN,917800.0
1991.0,MCINTOSH,CORN,23400.0
1991.0,MCINTOSH,NOT CORN,1109900.0
1992.0,DICKEY,CORN,146600.0
1992.0,DICKEY,NOT CORN,1317300.0
1992.0,LA MOURE,CORN,73000.0
1992.0,LA MOURE,NOT CORN,1854000.0
1992.0,LOGAN,CORN,21200.0
1992.0,LOGAN,NOT CORN,1006600.0
1992.0,MCINTOSH,CORN,22000.0
1992.0,MCINTOSH,NOT CORN,1207400.0
1993.0,DICKEY,CORN,113400.0
1993.0,DICKEY,NOT CORN,1244400.0
1993.0,LA MOURE,CORN,57800.0
1993.0,LA MOURE,NOT CORN,1763800.0
1993.0,LOGAN,CORN,18400.0
1993.0,LOGAN,NOT CORN,1041500.0
1993.0,MCINTOSH,CORN,14400.0
1993.0,MCINTOSH,NOT CORN,1060700.0
1994.0,DICKEY,CORN,108000.0
1994.0,DICKEY,NOT CORN,1203400.0
1994.0,LA MOURE,CORN,52200.0
1994.0,LA MOURE,NOT CORN,1870300.0
1994.0,LOGAN,CORN,15600.0
1994.0,LOGAN,NOT CORN,972600.0
1994.0,MCINTOSH,CORN,16200.0
1994.0,MCINTOSH,NOT CORN,1163900.0
1995.0,DICKEY,CORN,95200.0
1995.0,DICKEY,NOT CORN,1083200.0
1995.0,LA MOURE,CORN,41800.0
1995.0,LA MOURE,NOT CORN,1701300.0
1995.0,LOGAN,CORN,12000.0
1995.0,LOGAN,NOT CORN,947700.0
1995.0,MCINTOSH,CORN,9600.0
1995.0,MCINTOSH,NOT CORN,994100.0
1996.0,DICKEY,CORN,109800.0
1996.0,DICKEY,NOT CORN,925500.0
1996.0,LA MOURE,CORN,52600.0
1996.0,LA MOURE,NOT CORN,1394400.0
